"y","msl_mean","sp_mean","pred_mean","pred_sd"
0,100912.5,98139.3125,0.036531250923872,NA
0,101129.3125,101089.96875,0.100332647562027,NA
0,100842.234375,99673.53125,0.154601559042931,NA
0,101677.6328125,96861.6796875,0.615288317203522,NA
0,101606.140625,100108.6953125,0.470038235187531,NA
0,101273.09375,100647.1171875,0.356045484542847,NA
1,101599.25,90956.8125,0.893808603286743,NA
0,100846.2109375,99061.7265625,0.0915246158838272,NA
0,101020.0625,97237.09375,0.0355692692101002,NA
0,101478.5546875,100171.0546875,0.714040696620941,NA
0,100499.90625,95558.734375,0.0266560073941946,NA
0,100907.0078125,87547.171875,0.0499292463064194,NA
0,101366.53125,98733.109375,0.598895907402039,NA
0,101386.9921875,92306.6328125,0.479812502861023,NA
0,101044.59375,99796.1171875,0.154601559042931,NA
0,100824.46875,98624.65625,0.0538713335990906,NA
1,101544.8125,92869.4609375,0.886103391647339,NA
0,101323.6875,98744.4453125,0.484645783901215,NA
0,101226.390625,100893.8984375,0.143401011824608,NA
0,100728.7109375,100745.84375,0.112359337508678,NA
0,101598.265625,89101.6875,0.843735218048096,NA
0,101528.0546875,94628.7109375,0.879287540912628,NA
0,101691.0546875,101697.390625,0.143601208925247,NA
0,100752.6171875,96218.8046875,0.0355692692101002,NA
0,101364.671875,100962.265625,0.392448276281357,NA
0,101451.2734375,99262.8515625,0.779955923557281,NA
0,101376.4140625,100284.9453125,0.494625896215439,NA
0,101259.2265625,96774.40625,0.0870253145694733,NA
1,101495.21875,97057.8515625,0.802031576633453,NA
0,100751.8984375,99481.734375,0.136898085474968,NA
0,100966.921875,95421.9609375,0.0266560073941946,NA
0,100940.25,100622.6796875,0.112359337508678,NA
0,101250.9140625,101238.15625,0.186862707138062,NA
0,101929.0703125,100124.375,0.122032091021538,NA
0,101163.6796875,99319.3828125,0.279613167047501,NA
0,101811.671875,100197.28125,0.0988698378205299,NA
0,101204.4609375,98668.65625,0.0766368880867958,NA
0,101524.5703125,88949.4296875,0.741320312023163,NA
0,100884.7578125,99676.4609375,0.154601559042931,NA
0,101778.03125,99904.5390625,0.103029139339924,NA
0,101874.3203125,98639.6015625,0.101071462035179,NA
0,100927.9453125,92782.1796875,0.0426964238286018,NA
0,100922.3671875,92193.4609375,0.0426964238286018,NA
0,101357.984375,99192.546875,0.66668289899826,NA
0,101188.625,99545.734375,0.309558659791946,NA
0,101156.1328125,98841.5234375,0.152762696146965,NA
0,101787.84375,96170.921875,0.246228381991386,NA
0,101918.5703125,99263.578125,0.103029139339924,NA
0,101311.59375,99414.2109375,0.636918604373932,NA
0,101044.625,99449.984375,0.136898085474968,NA
0,100927.9921875,93330.1640625,0.0426964238286018,NA
0,100979.484375,100966.8828125,0.0880442559719086,NA
0,101624.3125,93887.8828125,0.869331002235413,NA
0,101461.09375,89027.234375,0.56831818819046,NA
0,102003.859375,98459.3671875,0.101071462035179,NA
0,101187.234375,101190.859375,0.143401011824608,NA
0,101322.328125,101322.78125,0.316898137331009,NA
0,101936.578125,97948.90625,0.0776269808411598,NA
0,101671.65625,100775.34375,0.203109070658684,NA
0,101442.1953125,99271.0390625,0.791578352451324,NA
0,101823.6796875,100202.484375,0.0988698378205299,NA
0,101311.625,98401.234375,0.272414594888687,NA
0,101163.53125,99187.265625,0.241866230964661,NA
1,101353.703125,99662.703125,0.760996639728546,NA
0,101317.2578125,101327.4921875,0.295228958129883,NA
0,101808,97518.4296875,0.105717167258263,NA
0,100868.78125,98412.484375,0.0538713335990906,NA
0,101625.984375,99307.7734375,0.64516282081604,NA
0,101346.7578125,100351.6015625,0.545386612415314,NA
0,100664,99919.6015625,0.154601559042931,NA
0,100832.609375,100824.2265625,0.0880442559719086,NA
0,101119.265625,101088.5859375,0.0916104540228844,NA
0,101617.4453125,101586.234375,0.259250551462173,NA
0,101277.078125,99584.03125,0.590171098709106,NA
0,100977.40625,100609.8125,0.112359337508678,NA
0,101343.0390625,97566.0546875,0.271673172712326,NA
0,101018.109375,99680.890625,0.154601559042931,NA
0,101832.359375,101798.40625,0.0744132101535797,NA
0,101331.203125,96926.375,0.387730062007904,NA
0,101631.25,97827.140625,0.614975214004517,NA
0,101112.328125,101110.703125,0.0916104540228844,NA
0,101872.59375,98086.046875,0.0850969478487968,NA
0,101876.1640625,100225.03125,0.0988698378205299,NA
1,101448.2734375,101060.7421875,0.506193578243256,NA
0,101206.0078125,99607.203125,0.309558659791946,NA
0,101321.453125,100487.4296875,0.532275855541229,NA
0,101640.6328125,97642.765625,0.67040628194809,NA
0,101256.3125,101249.3359375,0.186862707138062,NA
0,101996.515625,97734.890625,0.0776269808411598,NA
0,101724.90625,95831.5703125,0.531802594661713,NA
0,101594.5078125,96267.109375,0.871714413166046,NA
0,100824.609375,99727.140625,0.154601559042931,NA
0,101179.609375,95620.828125,0.0490334667265415,NA
0,101718.46875,101136.6640625,0.12714596092701,NA
0,101542.1640625,101523.578125,0.329143047332764,NA
0,100967.3671875,96111.8515625,0.0355692692101002,NA
0,101107.4921875,88154.53125,0.0499292463064194,NA
0,101163.2421875,101026.6875,0.177787005901337,NA
0,101375.9296875,99340.296875,0.645183861255646,NA
0,101559.8828125,96102.203125,0.897687792778015,NA
0,101361.1484375,101140.046875,0.32842892408371,NA
0,100898.359375,98140.8515625,0.036531250923872,NA
0,100885.328125,100456.75,0.143471464514732,NA
0,100687.46875,99940.2890625,0.154601559042931,NA
0,101031.421875,99630.2421875,0.154601559042931,NA
0,101243.140625,99386.578125,0.279987692832947,NA
0,101807.5,90591.1015625,0.420370697975159,NA
0,101242.8828125,99352.109375,0.231067597866058,NA
0,101565.1171875,101495.7578125,0.329143047332764,NA
0,101351.15625,98850.9765625,0.530611634254456,NA
0,101451.640625,93393.8828125,0.763834714889526,NA
0,100970.7734375,100302.09375,0.130595281720161,NA
0,101180.421875,100029.7265625,0.240623250603676,NA
0,101829.9375,98956.46875,0.0898244380950928,NA
1,101618.203125,101128.734375,0.259250551462173,NA
0,101605.4296875,93425.90625,0.929897367954254,NA
0,101587.125,90597.96875,0.855451047420502,NA
0,101488.5546875,91452.484375,0.794288814067841,NA
0,101001.40625,99201.1640625,0.0915246158838272,NA
0,100988.421875,85113.703125,0.0499292463064194,NA
0,101012.90625,99198.578125,0.0915246158838272,NA
0,101567.6640625,98922.0859375,0.755104124546051,NA
0,101529.0390625,99968.40625,0.742903113365173,NA
0,101515.8828125,97861.421875,0.618870317935944,NA
0,101526.203125,97450.4296875,0.6951984167099,NA
0,101579.171875,101325.390625,0.259250551462173,NA
0,101953.0625,98937.390625,0.0898244380950928,NA
0,101038.296875,98695.8125,0.0538713335990906,NA
0,101182.9140625,99896.171875,0.309558659791946,NA
0,101713.7109375,93489.09375,0.69190639257431,NA
1,101468.8125,98061.4140625,0.681839227676392,NA
0,101006.875,99392.34375,0.136898085474968,NA
0,101002.40625,99844.46875,0.154601559042931,NA
0,101216.1640625,99047.3515625,0.198072254657745,NA
0,101720.40625,100170.5,0.201175287365913,NA
0,100942.3359375,99399.703125,0.136898085474968,NA
0,101996.0625,99024.2109375,0.103029139339924,NA
0,100981.28125,99532.296875,0.136898085474968,NA
0,101095.671875,101035.3828125,0.0880442559719086,NA
0,101663.078125,101226.359375,0.144423291087151,NA
0,101412.4765625,101297.28125,0.292616933584213,NA
0,101851.34375,101261.328125,0.0744132101535797,NA
0,100926.046875,98411.21875,0.0538713335990906,NA
0,100861.53125,99811.546875,0.154601559042931,NA
0,101654.8046875,91736.640625,0.704794049263,NA
0,101786.96875,100055.234375,0.0770217105746269,NA
0,101433.3359375,101036.921875,0.432540446519852,NA
0,101468.15625,101470.140625,0.463948845863342,NA
0,101182.609375,101135.328125,0.143401011824608,NA
0,101365.34375,96566.1171875,0.455469012260437,NA
0,101162.3359375,101165.46875,0.177787005901337,NA
0,101483.875,101242.9609375,0.496303558349609,NA
0,100843.5390625,85895.25,0.0499292463064194,NA
0,101446.75,100535.5625,0.655207455158234,NA
0,100934.7109375,96734.046875,0.0355692692101002,NA
0,101818.4453125,100009.859375,0.0770217105746269,NA
0,100554.328125,96586.78125,0.0355692692101002,NA
0,100812.359375,91232.984375,0.0426964238286018,NA
0,100972.8515625,100211.8984375,0.125333100557327,NA
0,100937.78125,83290.9921875,0.0499292463064194,NA
0,101001.46875,100224.90625,0.125333100557327,NA
0,101666.1171875,90305.7421875,0.717450141906738,NA
0,101394.53125,99812.21875,0.729500114917755,NA
0,100996.4453125,99301.1640625,0.109187632799149,NA
0,100342.2578125,97614.453125,0.0306321755051613,NA
0,100195.6015625,99669.875,0.154601559042931,NA
0,101441.234375,99158.8359375,0.757380545139313,NA
1,101555.5078125,93028.171875,0.928151249885559,NA
0,101502.1484375,91070.6328125,0.794288814067841,NA
0,101276.6796875,101137.6640625,0.229735925793648,NA
0,100310.484375,97128.8046875,0.0355692692101002,NA
0,101645.5625,96305.0390625,0.783527910709381,NA
0,101835.53125,100501.078125,0.108250096440315,NA
